objectid,filename,title,date,creator,location,latitude,longitude,description,historical_background,dpla_record,dpla_collection,source_record,subject,digital_surrogate_provenance,photograph_provenance,rights,file_format,file_size,image_dimensions,original_digital_collection,image_location
111,ft1950s01.jpg,"A group of women gathered around a table working on decorations, Manchester, Georgia, 1953",1953,Not specified,"Manchester, GA, USA",32.85985,-84.61993,"A group of women gathered around a table making decorations in Manchester, Georgia. The decorations could be for a cake.","This image opens an open window to the daily life of this society in the 1950s and is a view of the efforts and solidarity of women in that era. The women are gathered around a table in clothes appropriate to the fashion of that decade, with happy and responsible hairdos and looks. The tools and decoration materials are placed among them and their focused looks show the importance and validity of this activity. This image may be symbolic of the convergence of small communities in America in the 1950s, where women played an important role in social and cultural activities. In the 1950s, rural and urban American communities witnessed cultural and social changes. In addition to domestic roles, women participated as important members of local and cultural communities. The decade symbolized ideas about family, social solidarity, and social responsibility.  This image provides a vivid memory of women's efforts and participation in the social and cultural structure of the 1950s.",https://dp.la/item/8e92572cbdab6c3f4afa9d2a15a153e0,Pine Mountain Regional Library Collection,http://dlg.galileo.usg.edu/id:gbp_bhtc_bhtc53052,Women--Georgia--Manchester,Digital Library of Georgia,Pine Mountain Regional Library Collection,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",jpeg,"105,984 bytes",800×571,Pine Mountain Regional Library Collection,/objects/ft1950s01.jpg
112,ft1950s02.jpg,"Juanita Traylor, Lillian Graves, and Andrea Thompson, Panther Newspaper Staff in an Office, 1951",1951,Clark College,"Atlanta, GA, USA",33.8034,-84.3963,Three women pose at a long table with typewriters and papers. ,"The Black Panther Party Newspaper was the most widely read Black newspaper in the United States, with a weekly circulation of more than 300,000. It sold for 25 cents. Every Panther was required to read and study the newspaper before they could sell it.",https://dp.la/item/cd4088d6d1e53a5dbf1baa80a10104a4,Clark College and Clark Atlanta University Photographs,http://hdl.handle.net/20.500.12322/auc.003:1234,African American universities and colleges; African American women; Groups and organizations; Portraits and people; Faculty and staff,Atlanta University Center Robert W. Woodruff Library ,"RADAR: Repository of AUC Digital collections, Archives, and Research","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",jpeg,"363,389 bytes",2619×2265,Clark College and Clark Atlanta University Photographs,/objects/ft1950s02.jpg
113,nn1960s01.jpg,Failure in nursing pushed Beverly into new career,1960,"Birch, George","Los Angeles, CA, USA",34.0549,-118.2426,23-year-old Beverly Hawly pictured at her new position as the new recreation director for girls and women at Reseda Playground.,"After a career in nursing did not work out, 23-year-old Beverly Hawly can be seen in her new position at Reseda Playground as the new recreation director for girls and women. The Los Angeles Public Library Photo wanted to showcase thousands of digitized images with their Valley Times Collection. Valley Times was published between 1946 and 1970 and featured spreads of the San Fernando Valley’s history during its most dynamic period of growth.",https://dp.la/item/4cf29aa35f42743dfadc1bcc357f5934?,Los Angeles Public Library Photo Collection,https://tessa2.lapl.org/digital/collection/photos/id/60743,Los Angeles; California; Children; Women; Parks and California; Playgrounds; Recreation; Women and United States; Children; Los Angeles and California; World War II; Women and War; Women and Recreation; Recreation center;,TESSA Digital Collections of the Los Angeles Public Library,Los Angeles Public Library,Images available for reproduction and use. See the Ordering & Use page at http://tessa.lapl.org/OrderingUse.html.,jpeg,"60,557 bytes",605×800,Valley Times Photo Collection,/objects/nn1960s01.jpg
114,nn1960s02.jpg,Her home has a dining room,1963,"Leach, Larry","Los Angeles, CA, USA",34.0549,-118.2426,"Mrs. Ross Cavanaugh is pictured in the kitchen of her home, preparing a plate with food ready to be served.","This photo shows Mrs. Ross Cavanaugh in the kitchen of her home, preparing a plate with food to be ready to serve in October of 1963. This photo is another that is a part of the Valley Times Collection, a collection curated by the Los Angeles Public Library that illustrates the San Fernando Valley’s most pivotal times by digitizing photos from the Valley Times. The Valley Times prioritized showcasing a changing San Fernando Valley everyday after World War II. ",https://dp.la/item/205efa5122b675af7ad18c38b55cc89c?,Los Angeles Public Library Photo Collection,https://tessa2.lapl.org/digital/collection/photos/id/58572,Women; Homemaker; California; Los Angeles and California; Recipes and Cooking; Cooking and California; Kitchens; Kitchens; World War II; Women and War; ,TESSA Digital Collections of the Los Angeles Public Library,Los Angeles Public Library,Images available for reproduction and use. See the Ordering & Use page at http://tessa.lapl.org/OrderingUse.html.,jpeg,"63,362 bytes",698×800 ,Valley Times Photo Collection,/objects/nn1960s02.jpg
115,denmark_1970.jpg,Dr. Leila Denmark,1970,Not specified,"Atlanta, GA, USA",33.749,-84.38798,Dr. Leila Denmark examining an infant,"Dr. Leila Denmark, an Atlanta Georgia pediatrician.  Volunteering at the Baby Clinic of the Central Presbyterian Church.  Dr. Denmark was the only female to graduate medical school in 1928 from the Medical College of Georgia.  Dr. Denmark was a pioneer for her medical work and research, she was also the oldest practicing physician when she retired at the age of 103. The photo is part of a diverse collection ranging from 1850 - 1980 of the Atlanta History photograph collection. ",https://dp.la/item/8adf71a0bff84fabf56ea62af0d631a0,Atlanta History Photograph Collection,https://album.atlantahistorycenter.com/digital/collection/athpc/id/2307,Atlanta History Photograph Collection,Atlanta History Center,The Kenan Research Center,"This material is protected by copyright law. (Title 17, U.S Code) Permission ofr use must be cleared through The Kenan Research Center at the Atlanta History Center. Licensing agreement may be required.",jpeg,33 KB,600×399,Atlanta History Photograph Collection,/objects/denmark_1970.jpg
116,salon_1972.png,"Nancy (Garramone) Walrath's Snow White Beauty Salon, 1972",1972,Not specified,"Denver, CO, USA",39.742043,-104.991531,"Nancy (Garramone) Walrath giving a small child a haircut.  Two adults are behind her, one standing and one with their head in the dryer.","Nancy (Garramone) Walrath owner of the Snow White Beauty Salon in the Little Italy community of Denver, Colorado.  Nancy graduated beauty school and started working at the salon, two years later she bought the salon and was able to expand to add more beauticians, many were Italian American women.  The photo is part of the Colorado Historical Society Collection and Colorado Italian American Preservation Association project.",https://dp.la/item/71cd25c61141745c09100d58b254fb1e?q=Nancy+%28Garramone%29+Walrath%27s+Snow+White+Beauty+Salon%2C+1972,Colorado Italian-Italian American Collection,http://5008.sydneyplus.com/HistoryColorado_ArgusNet_Final/Portal/Portal.aspx?component=AAFW&record=E3901880-C4CD-4358-807B-240C21FF5925,Italian America,History Colorado Collection,Lou and Bonnie Garramone,"See the record for Mss.02595 for full project details including how the documentation project came to be and a complete photography log of all photographs scanned during the project. This record also notes artifacts, files and oral histories collected during the project. Image and permissions given to HC by Lou and Bonnie Garramone. See also MSS.02595 file (files) for Lou and Bonnie Garramone for additional information",png,903 KB,78×678,History Colorado Digital Collection,/objects/salon_1972.png
117,neu_83514.jpg,Garment workers at sewing machines,1979,Not specified,"Boston, MA, USA",42.35843,-71.05977,Three women are at sewing machines in a garment shop.,Garment workers at sewing machines during the Garment Workers’ protest movement of  the 1980’s. in Boston Massachusetts.  The photo is part of the Northeastern University Library Archives and Special Collections.,https://dp.la/item/9bf80bcffc90e0a69f590a21f3309895?q=Garment+workers+at+sewing+machines,Chinese Progressive Association records (M163),http://hdl.handle.net/2047/d20192109,Chinese Progressive Association records (M163),Archives and Special Collections (Boston),Northeastern University Library,"Copyright Undetermined: The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. http://rightsstatements.org/vocab/UND/1.0/",jpeg,90 KB,600×401,Northeastern University Archives and Special Collections,/objects/neu_83514.jpg
118,eastern_57648_medium.jpg,"Crew filming Eastern Air Lines employee for Coca-Cola Aviation Career film, 1980",1980,Eastern Air Lines,"Atlanta, GA, USA",33.749,-84.38798,Eastern Air Line filming a women an employee for Coca-Cola commercial.,"Coca-Cola aviation career film was filmed at William B. Hartsfield Atlanta International Airport. The photo is part of the digital collection at Georgia State University, the photo originated from Carolyn Lee Willis’ collection of Eastern Air Lines’ Southern Regional Public Relations office.  Carolyn was the Regional Manager of Public Relation and later the Manager for the Southern Division after the airline closed its Atlanta offices. ",https://dp.la/search?q=Crew+filming+Eastern+Air+Lines+employee+for+Coca-Cola+Aviation+Career+film%2C+1980,Eastern Air Lines Collection,http://digitalcollections.library.gsu.edu/cdm/ref/collection/eastern/id/57702,Eastern Airlines,Georgia State University Digital Collection,Carolyn Lee Wills collection of Eastern Airlines' Southern Region Public Relations Office records,http://rightsstatements.org/vocab/InC-EDU/1.0,jpeg,25 KB,499×342,Georgia State University Digital Collection,/objects/eastern_57648_medium.jpg
119,eastern_57702_medium.jpg,"Eastern employees modeling various flight attendant uniforms from throughout Eastern's history at 50th anniversary celebration, 1978",1978,Eastern Air Lines,"Atlanta, GA, USA",33.749,-84.38798,Several employees of Eastern Air Line in various flight attendant uniforms,"Eastern Air Lines flight attendants model uniforms at the 50th anniversary of the airline.  The photo is part of the digital collection at Georgia State University, the photo originated from Carolyn Lee Willis’ collection of Eastern Air Lines’ Southern Regional Public Relations office.  Carolyn was the Regional Manager of Public Relation and later the Manager for the Southern Division after the airline closed its Atlanta offices.",https://dp.la/item/d49b81c82deb201ccb52d52835d3b81e?q=Eastern+employees+modeling+various+flight+attendant+uniforms+from+throughout+Eastern%27s+history+at+50th+anniversary+celebration%2C+1978,Eastern Air Lines Collection,http://digitalcollections.library.gsu.edu/cdm/ref/collection/eastern/id/57648,Eastern Airlines,Georgia State University Digital Collection,Carolyn Lee Wills collection of Eastern Airlines' Southern Region Public Relations Office records,http://rightsstatements.org/vocab/InC-EDU/1.0,jpeg,25 KB,499×344,Georgia State University Digital Collection,/objects/eastern_57702_medium.jpg
120,nn1990s01.jpg,Woman and Son at Their House,1995,Not specified,"Minneapolis, MN, USA",44.9778,-93.2658,"A woman and her son are pictured sitting outside of their Minneapolis house, laughing together.","From the City of Minneapolis Collection, this photo was on the cover of the Minneapolis Community Development Agency (MCDA) 1995 annual report. The MCDA was from a larger collection, the Minneapolis Department of Community Planning and Economic Development (CPED), whose mission is to grow a lively and safely built city for everyone. Though, this specific collection does not seem to exist anymore and the photo continues to live in the City of Minneapolis Collection.",https://dp.la/item/edca6e85ccd9344ac04417549bcb11b1?,City of Minneapolis Collection,https://digitalcollections.hclib.org/digital/collection/CPED/id/40097,Mothers; Houses; Mothers and sons; Sons; Family; Women; Working women; Minneapolis; Working mothers;  Mother and child; Mothers and United States; ,Hennepin County Library Digital Collections,Not Specified,Proper attribution is required for public display or use of this photograph: “Hennepin County Library.,jpeg,"998,760 bytes",4192×2956,City of Minneapolis Collection,/objects/nn1990s01.jpg
121,nn1990s02.jpg,"Woman at state radio command control center, Bismarck, N.D",1997,Not specified,"Bismarck, ND, USA",46.8055,-100.7877,A woman at work at the state radio communications department at Fraine Barracks in Bismarck.,"This woman working at a control center in N.D. is part of a collection that ranges between images and texts, all of which are located somewhere in North Dakota. The State Historical Society of N.D. works to preserve, identify, and promote the heritage of North Dakota and its people. The collection has various photographs of indivduals throughout the years working at control centers in N.D.",https://dp.la/item/57171f779970598eaf9b17f2c99e77ac,State Historical Society of North Dakota,https://cdm16921.contentdm.oclc.org/digital/collection/uw-ndshs/id/4501,Communication; People; Politics and Government; Women; Work Life; Radio broadcasting; Communications; Communication facilities; Women in communication; Women in radio broadcasting;,Digital Horizons,State Historical Society of North Dakota,Copyright undetermined. Item is available but the organization was unable to make a conclusive determination of the photographer's copyright status. Items may be used in any way that is permitted by the copyright and related rights legislation that applies to users' use.,jpeg,"44,346 bytes",500×372,State Historical Society of North Dakota (SHSND),/objects/nn1990s02.jpg
